artist_s__name,musicas_por_artista
israel rodolffo mari fernandez,1
marshmello manuel turizo,1
calvin harris ellie goulding,1
bad bunny eladio carrion,1
myke towers,1
melanie martinez,1
blessd peso pluma,1
jack black,1
bad bunny grupo frontera,1
rich the kid matu ,1
nile rodgers le sserafim,1
dennis mc kevin o chris,1
rm colde,1
mambo kingz dj luian anuel aa,2
 g i dle,2
arijit singh sachin jigar amitabha bhattacharya,1
shubh,1
sachin jigar shadab faridi altamash faridi amitabh bhattacharya varun jain,1
dua lipa,3
bizarrap peso pluma,1
big one duki lit killah maria becerra fmk rusherking emilia tiago pzk,1
metro boomin coi leray,1
feid myke towers sky rompiendo,1
peggy gou,1
rauw alejandro bizarrap,2
junior h peso pluma,2
gabito ballesteros junior h peso pluma,1
peso pluma grupo frontera,1
tainy bad bunny,1
natanael cano,1
sog ryan castro peso pluma,1
chuck berry,1
tears for fears,1
kate bush,1
ed sheeran j balvin,1
eminem dr dre,2
eminem,4
eminem dina rae,1
the killers,1
miguel,1
ray dalton ryan lewis macklemore,1
kendrick lamar jay rock,1
ayparia unxbected,1
paloma faith,1
jain,1
the rare occasions,1
frank ocean,2
baby tate,1
the weeknd lana del rey,1
calvin harris dua lipa,1
tyler the creator kali uchis,1
masked wolf,1
halsey bts,1
tones and i,1
mac demarco,1
labrinth zendaya,1
ckay ax el dj yo ,1
doja cat,6
hotel ugly,2
dua lipa dababy,1
glass animals,1
oliver tree,1
intense ap dhillon gurinder gill,1
aitana zzoilo,1
j balvin maria becerra,1
tini maria becerra,1
doja cat the weeknd,1
chencho corleone rauw alejandro,1
sech bad bunny mora,1
jack harlow lil nas x,1
lost frequencies calum scott,1
ti sto kar,1
arcangel de la ghetto justin quiles lenny tav rez sech dalex dimelo flow rich music,1
cherish acraze,1
anuel aa jhay cortez,1
yeat,2
kali uchis amaarae moliy,1
twice,2
julieta venegas bad bunny tainy,1
mar lia mendon a maiara ,1
alvaro diaz rauw alejandro,1
justin quiles lenny tav rez bl,1
anitta,1
tini l gante,1
trueno,1
anuel aa myke towers jhay cortez,1
adassa mauro castillo stephanie beatriz encanto cast rhenzy feliz diane guerrero carolina gaitan,1
interworld,1
ed sheeran fireboy dml,1
chanel,1
21 savage gunna,1
stromae,1
mar lia mendon a hugo g,1
mainstreet chefin,1
skrillex flowdan fred again ,1
cris mj,1
kordhell,1
em beihold,1
mc pedrinho pedro sampaio,1
karol g becky g,1
dove cameron,1
jack harlow,3
rex orange county,1
blackbear boywithuke,1
feid alejo robi,1
rosa linn,1
sch rze dj r,1
teto,1
feid mora,1
camila cabello willow,1
charlie puth,2
carin leon,1
luciano,1
bizarrap paulo londra,1
justin bieber don toliver,1
psy suga,1
lf system,1
bad bunny rauw alejandro,1
chencho corleone bad bunny,1
kendrick lamar kodak black,1
melody ana castela dj chris no beat,1
post malone doja cat,1
feid,8
bizarrap villano antillano,1
oxlade,1
yung gravy,1
de la ghetto feid polima westcoast paloma mami pailita,1
beyonc ,3
anitta tini becky g,1
lizzo,2
rosal ,2
dean lewis,1
drake dj khaled lil baby,1
fran c polima westcoast nickoog clk pablito pesadilla,1
yandel feid,2
sam smith kim petras,1
baby rasta rauw alejandro,1
twisted oliver tree,1
abhijay sharma riar saab,1
bellakath,1
raye 070 shake,2
kenshi yonezu,1
le sserafim,2
meghan trainor,1
thxsomch,1
ti sto tate m,1
feid paulo londra,1
natanael cano gabito ballesteros peso pluma,1
rm,1
john legend metro boomin,1
libianca,1
sza don toliver,1
arijit singh vishal dadlani sukriti kakar vishal shekhar shekhar ravjiani kumaar,1
fuerza regida peso pluma,1
steve aoki tini la joaqui,1
oscar maydon junior h,1
tomorrow x together,1
p nk,1
sam smith calvin harris jessie reyez,1
simone mendes,1
gorillaz bad bunny,1
loreen,1
fuerza regida chino pacas,1
doechii,1
kanii pr1isvx,1
big one fmk ke personajes,1
iu agust d,1
yoasobi,1
seventeen,1
taeyang lisa,1
sebastian yatra manuel turizo be ,1
gunna,1
veigh bvga beatz supernova ent prod malax,1
fuerza regida,2
taylor swift ice spice,1
wizkid toian metro boomin don toliver beam,1
swae lee lil wayne offset metro boomin,1
swae lee a boogie wit da hoodie metro boomin nav,1
halsey suga,1
feid mora saiko quevedo,1
maria becerra,1
mc livinho dj matt d,1
dr dre snoop dogg,2
eminem dido,1
50 cent,1
eminem nate dogg,1
zion lennox,1
don omar lucenzo,1
kevin gates juicy j,1
ariana grande,2
j cole,1
the weeknd daft punk,1
sean paul dua lipa,1
elton john britney spears,1
tyler the creator,3
bad bunny tainy,1
annenmaykantereit giant rooks,1
j balvin bad bunny,1
ti ,1
godzz__ zakaria,1
c tangana,1
luar la l,1
playboi carti,1
riton nightcrawlers mufasa hypeman dopamine,1
justin bieber daniel caesar giveon,1
polo g,1
sleepy hallow,1
ryan castro,2
sidhu moose wala,1
j balvin nio garcia bad bunny,1
maluma,1
aventura bad bunny,1
lauren spencer smith,1
kendrick lamar baby keem,1
drake project pat 21 savage,1
imagine dragons league of legends jid arcane,1
drake future young thug,1
drake travis scott,1
boywithuke,1
lisa,1
mar lia mendon a george henrique ,1
imagine dragons league of legends arcane,1
kodak black,1
jnr choi,1
emmy meli,1
luude colin hay,1
muni long,1
jessica darrow,1
olga merediz stephanie beatriz encanto cast,1
xam gustah neo b,1
yng lvcas,1
bizarrap tiago pzk,1
gunna lil baby,1
young thug future gunna,1
the weeknd lil wayne,1
quevedo la pantera juseph cruz cafun b jo abhir hathi,1
armani white,1
kanye west alicia keys fivio foreign,1
future,2
polima westcoast pailita,1
danny ocean,1
luis r conriquez la adictiva,1
byor imanbek,1
nmixx,1
jordan fisher josh levi finneas o connell 4 town from disney and pixar s turning red topher ngo grayson vill,1
residente bizarrap,1
dave,1
dua lipa megan thee stallion,1
lu sa sonza mc frog dj gabriel do borel davi k,1
stray kids,2
ak4 20 cris mj pailita,1
de la ghetto duki quevedo,1
lil tjay,1
sech mora,1
lil baby,2
jessi,1
shakira rauw alejandro,1
nle choppa,1
drake future tems,1
tony dize bad bunny,1
ugly dray tesla jnr,1
buscabulla bad bunny,1
post malone roddy ricch,1
kendrick lamar sam dew baby keem,1
kendrick lamar taylour paige,1
kendrick lamar beth gibbons,1
kendrick lamar tanna leone,1
kendrick lamar ghostface killah summer walker,1
kendrick lamar blxst amanda reifer,1
kendrick lamar sampha,1
nengo flow anuel aa chris jedi chencho corleone,1
sleepy hallow 347aidan,1
kanye west xxxtentacion,1
duki,2
l7nnon dj biel do furduncinho bianca,1
mc vitin da igrejinha mc tairon dj win,1
nessa barrett,1
mc ryan sp love funk mc paiva zs,1
kanye west lil durk cardi b,1
central cee,2
grupo marca registrada junior h,1
rels b,1
snoop dogg bts benny blanco,1
freddie dredd,1
nicki minaj,2
maldy karol g,1
dj escobar mc menor sg mc menor hr,1
luciano aitch b ,1
dj lk da esc cia tchakabum mc jhenny m,1
ozuna feid,1
drake travis scott 21 savage,1
karol g ovy on the drums,1
coi leray,1
arcangel bad bunny,1
fuerza regida natanael cano,1
future chris brown metro boomin,1
travis scott young thug metro boomin,1
travis scott 21 savage metro boomin,1
sza travis scott,1
migrantes lil cake nico valdi,1
nengo flow bad bunny,1
mc xenon os gemeos da putaria,1
karol g romeo santos,1
ana castela agroplay,1
taiu milo j,1
tini,1
karol g quevedo,1
karol g shakira,1
j hope j cole,1
cartel de santa la kelly,1
peso pluma yng lvcas,1
kaliii kaliii,1
arcangel bizarrap,1
rauw alejandro rosal ,1
feid young miko,1
nicki minaj ice spice,1
sean paul feid,1
agust d,1
kodak black nle choppa muni long jvke jimin,1
mc caverinha kayblack,1
shakira,1
j cole lil durk,1
nicky jam feid,1
dave central cee,1
mc pedrinho dj 900,1
semicenk do u ,1
the weeknd madonna playboi carti,1
james blake metro boomin,1
offset jid,1
future lil uzi vert metro boomin,1
nicki minaj aqua ice spice,1
